epoch,accuracy,loss,val_accuracy,val_loss
0,0.2860576808452606,2.790983200073242,0.5615384578704834,1.3632099628448486
1,0.7846153974533081,0.8564175367355347,0.9307692050933838,0.4916432201862335
2,0.954807698726654,0.36820992827415466,0.9384615421295166,0.2981821596622467
3,0.9769230484962463,0.23926624655723572,0.9730769395828247,0.1911228448152542
4,0.9923076629638672,0.1404109001159668,0.9807692170143127,0.14100949466228485
5,0.995192289352417,0.11136837303638458,0.9884615540504456,0.11304057389497757
6,0.9971153736114502,0.083034947514534,0.9884615540504456,0.09805578738451004
7,0.9985576868057251,0.06885654479265213,0.9923076629638672,0.08623918145895004
8,0.9995192289352417,0.058168571442365646,0.9923076629638672,0.0746314749121666
9,1.0,0.04861481115221977,0.9923076629638672,0.06548448652029037
