fold,accuracy,precision,recall,f1_score,training_time
1,1.0,1.0,1.0,1.0,1 menit 12.93 detik
2,0.9923076923076923,0.9931024141550456,0.9927679158448389,0.9927635212873837,0 menit 56.43 detik
3,0.9923076923076923,0.9923820141211446,0.9924908424908424,0.992244236897145,0 menit 54.96 detik
4,0.9961538461538462,0.9945054945054945,0.9957264957264957,0.994953194953195,0 menit 56.41 detik
5,0.9961538461538462,0.9961538461538461,0.9961538461538461,0.9960552268244576,1 menit 0.38 detik
6,1.0,1.0,1.0,1.0,0 menit 55.46 detik
7,0.9961538461538462,0.9965034965034966,0.9963369963369964,0.9963349186264671,0 menit 56.41 detik
8,1.0,1.0,1.0,1.0,1 menit 6.42 detik
9,0.9961538461538462,0.9972527472527472,0.9959514170040487,0.9965223965223965,1 menit 5.06 detik
