epoch,accuracy,loss,val_accuracy,val_loss
0,0.8004807829856873,0.877082884311676,0.9692307710647583,0.21822403371334076
1,0.9932692050933838,0.12503334879875183,0.9961538314819336,0.09792966395616531
2,0.9990384578704834,0.06306558847427368,0.9961538314819336,0.06464845687150955
3,1.0,0.0398135632276535,1.0,0.04399150609970093
4,1.0,0.028498155996203423,1.0,0.03494557738304138
5,1.0,0.021360835060477257,1.0,0.02901218645274639
6,1.0,0.0170062854886055,1.0,0.02516479231417179
7,1.0,0.014077593572437763,1.0,0.021601522341370583
8,1.0,0.011444705538451672,1.0,0.017870265990495682
9,1.0,0.009791132993996143,1.0,0.01696413941681385
10,1.0,0.008493651635944843,1.0,0.014515768736600876
11,1.0,0.0073133050464093685,1.0,0.013366644270718098
12,1.0,0.006517586298286915,1.0,0.01212202850729227
13,1.0,0.005756509490311146,1.0,0.01114073395729065
14,1.0,0.005148471798747778,1.0,0.010305688716471195
15,1.0,0.004643219523131847,1.0,0.009481429122388363
16,1.0,0.004229174926877022,1.0,0.008886685594916344
17,1.0,0.003841985249891877,1.0,0.008335724472999573
18,1.0,0.00353213120251894,1.0,0.007790197618305683
19,1.0,0.0032574571669101715,1.0,0.007484488654881716
20,1.0,0.002963725943118334,1.0,0.00696447491645813
21,1.0,0.002736286260187626,1.0,0.00658359844237566
22,1.0,0.0025409050285816193,1.0,0.006155298091471195
23,1.0,0.002371183130890131,1.0,0.005940834525972605
24,1.0,0.0022225563880056143,1.0,0.005712890066206455
25,1.0,0.002060594968497753,1.0,0.00535282539203763
26,1.0,0.0019298936240375042,1.0,0.005126651376485825
27,1.0,0.0018097845604643226,1.0,0.00482729310169816
28,1.0,0.0016949028940871358,1.0,0.004738903138786554
29,1.0,0.0016033074352890253,1.0,0.004502087365835905
