fold,accuracy,precision,recall,f1_score,training_time
1,0.09230769230769231,0.08620973383940389,0.08620973383940389,0.08620973383940389,2 menit 31.08 detik
2,0.08076923076923077,0.0822322077382806,0.08268205029338632,0.08245105006238608,2 menit 34.50 detik
3,0.06153846153846154,0.060190807793782615,0.060190807793782615,0.060190807793782615,2 menit 36.48 detik
4,0.09230769230769231,0.08982489205659577,0.08982489205659577,0.08982489205659577,2 menit 42.43 detik
5,0.09230769230769231,0.08852389384594256,0.08852389384594256,0.08852389384594256,2 menit 32.91 detik
6,0.09230769230769231,0.0802188767959559,0.0802188767959559,0.0802188767959559,2 menit 32.83 detik
7,0.12307692307692308,0.12004446735568017,0.12004446735568017,0.12004446735568017,2 menit 25.94 detik
8,0.08461538461538462,0.07996734583719581,0.07996734583719581,0.07996734583719581,2 menit 38.34 detik
9,0.07692307692307693,0.07314386679711758,0.07310102464901226,0.07311266676591753,2 menit 25.81 detik
