epoch,accuracy,loss,val_accuracy,val_loss
0,0.8052884340286255,0.8611668944358826,0.9769230484962463,0.2063634842634201
1,0.9923076629638672,0.12140382826328278,0.9961538314819336,0.09826367348432541
2,0.9975961446762085,0.06232571229338646,1.0,0.060568712651729584
3,0.9990384578704834,0.03940143436193466,1.0,0.04249388724565506
4,0.9990384578704834,0.02843763493001461,1.0,0.033904481679201126
5,0.9995192289352417,0.021550539880990982,1.0,0.026495205238461494
6,1.0,0.016801785677671432,1.0,0.02210775576531887
7,1.0,0.013689683750271797,1.0,0.019296005368232727
8,1.0,0.011536176316440105,1.0,0.01669512689113617
9,1.0,0.009755264967679977,1.0,0.014196745119988918
10,1.0,0.00842034351080656,1.0,0.01291870791465044
11,1.0,0.007294575218111277,1.0,0.011504202149808407
12,1.0,0.006442884914577007,1.0,0.010646654292941093
13,1.0,0.0057122185826301575,1.0,0.0095992311835289
14,1.0,0.005143638234585524,1.0,0.00879399012774229
15,1.0,0.0046286629512906075,1.0,0.008058957755565643
16,1.0,0.004179247189313173,1.0,0.007477096281945705
17,1.0,0.0038216046523302794,1.0,0.006819828413426876
18,1.0,0.0035090362653136253,1.0,0.006450067739933729
19,1.0,0.0032162389252334833,1.0,0.005988094490021467
20,1.0,0.0029756163712590933,1.0,0.005644991993904114
21,1.0,0.0027211338747292757,1.0,0.005259423516690731
22,1.0,0.0025281645357608795,1.0,0.004926258232444525
23,1.0,0.002356472657993436,1.0,0.004786216653883457
24,1.0,0.002183211501687765,1.0,0.004448693245649338
25,1.0,0.0020507327280938625,1.0,0.004216907545924187
26,1.0,0.0019146202830597758,1.0,0.0040436722338199615
27,1.0,0.0017986861057579517,1.0,0.003840923774987459
28,1.0,0.0016823719488456845,1.0,0.003683565417304635
29,1.0,0.0015849081100896,1.0,0.0035241818986833096
