epoch,accuracy,loss,val_accuracy,val_loss
0,0.8100961446762085,0.8619122505187988,0.9846153855323792,0.20271266996860504
1,0.9961538314819336,0.11422083526849747,0.9923076629638672,0.09279488027095795
2,0.9975961446762085,0.05997597426176071,0.9923076629638672,0.05660363286733627
3,0.9995192289352417,0.03792976215481758,0.9923076629638672,0.042786385864019394
4,0.9995192289352417,0.027062609791755676,0.9923076629638672,0.03800617530941963
5,0.9995192289352417,0.020834697410464287,0.9923076629638672,0.02611372619867325
6,1.0,0.016485819593071938,0.9923076629638672,0.023199763149023056
7,1.0,0.013499056920409203,0.9923076629638672,0.020844167098402977
8,1.0,0.011138944886624813,0.9923076629638672,0.019803481176495552
9,1.0,0.009721747599542141,0.9923076629638672,0.01667199097573757
10,1.0,0.008179377764463425,0.9923076629638672,0.015911061316728592
11,1.0,0.007127576507627964,0.9923076629638672,0.015458831563591957
12,1.0,0.006283216644078493,0.9923076629638672,0.014633101411163807
13,1.0,0.005613304208964109,0.9923076629638672,0.013094387017190456
14,1.0,0.005022926721721888,0.9923076629638672,0.012633757665753365
15,1.0,0.004491315223276615,0.9923076629638672,0.010959860868752003
16,1.0,0.004097635392099619,0.9923076629638672,0.01159313227981329
17,1.0,0.0037304754368960857,0.9923076629638672,0.011356232687830925
18,1.0,0.0034056801814585924,0.9923076629638672,0.010133511386811733
19,1.0,0.0031451552640646696,0.9923076629638672,0.010022773407399654
20,1.0,0.0029052842874079943,0.9961538314819336,0.00914046075195074
21,1.0,0.0026722426991909742,0.9923076629638672,0.00925084576010704
22,1.0,0.002470199018716812,0.9923076629638672,0.009024019353091717
23,1.0,0.002289957832545042,0.9923076629638672,0.008763248100876808
24,1.0,0.0021451213397085667,0.9923076629638672,0.008411034941673279
25,1.0,0.0019948442932218313,0.9961538314819336,0.008081258274614811
26,1.0,0.0018688252894207835,0.9923076629638672,0.008177682757377625
27,1.0,0.0017573015065863729,1.0,0.007448846474289894
28,1.0,0.0016418593004345894,0.9961538314819336,0.007274579722434282
29,1.0,0.0015505342744290829,0.9961538314819336,0.007012374699115753
30,1.0,0.0014550398336723447,0.9961538314819336,0.006916795391589403
31,1.0,0.0013800564920529723,0.9961538314819336,0.007089377846568823
32,1.0,0.0012990274699404836,1.0,0.006799998227506876
33,1.0,0.0012347318697720766,0.9961538314819336,0.0069110458716750145
34,1.0,0.0011648201616480947,0.9961538314819336,0.006975386291742325
35,1.0,0.0011024693958461285,0.9961538314819336,0.006622562184929848
36,1.0,0.0010472696740180254,1.0,0.006342059932649136
37,1.0,0.0009946251520887017,1.0,0.006247261073440313
38,1.0,0.0009448564960621297,1.0,0.00616245623677969
39,1.0,0.0008983627776615322,1.0,0.005794793367385864
40,1.0,0.0008556153043173254,1.0,0.006008890923112631
41,1.0,0.0008157006232067943,1.0,0.005860666278749704
42,1.0,0.000777419307269156,1.0,0.005904187448322773
43,1.0,0.0007411543629132211,1.0,0.005650822073221207
44,1.0,0.00070935272378847,1.0,0.005605306942015886
45,1.0,0.000675906368996948,1.0,0.005508646834641695
46,1.0,0.0006478310679085553,1.0,0.005519058555364609
47,1.0,0.0006190268904902041,1.0,0.005448566284030676
48,1.0,0.000592036813031882,1.0,0.005251334980130196
49,1.0,0.0005687287775799632,1.0,0.005555217154324055
50,1.0,0.0005418776418082416,1.0,0.005231655202805996
51,1.0,0.0005210204399190843,1.0,0.005065253470093012
52,1.0,0.0004993921611458063,1.0,0.005185232963413
53,1.0,0.0004765433550346643,1.0,0.005025859922170639
54,1.0,0.0004590993921738118,1.0,0.004899857100099325
55,1.0,0.0004402637423481792,1.0,0.004807494580745697
56,1.0,0.00042222626507282257,1.0,0.0050502498634159565
57,1.0,0.00040487770456820726,1.0,0.004833860322833061
58,1.0,0.00039105600444599986,1.0,0.004765150602906942
59,1.0,0.0003749937459360808,1.0,0.004703186918050051
60,1.0,0.0003599782648961991,1.0,0.0046870470978319645
61,1.0,0.000346552551491186,1.0,0.004558363929390907
62,1.0,0.0003330180188640952,1.0,0.0046594892628490925
63,1.0,0.0003218753554392606,1.0,0.004428542219102383
64,1.0,0.00030888128094375134,1.0,0.004421767313033342
65,1.0,0.0002971933572553098,1.0,0.004356793127954006
66,1.0,0.0002862367546185851,1.0,0.004547367338091135
67,1.0,0.00027511786902323365,1.0,0.004233512561768293
68,1.0,0.00026608339976519346,1.0,0.004240837879478931
69,1.0,0.00025558576453477144,1.0,0.004131748806685209
70,1.0,0.0002464861609041691,1.0,0.004309208132326603
71,1.0,0.0002366709231864661,1.0,0.0041455612517893314
72,1.0,0.00022890669060871005,1.0,0.004022309556603432
73,1.0,0.00022061457275412977,1.0,0.004039291758090258
74,1.0,0.00021256513718981296,1.0,0.004126579966396093
75,1.0,0.00020524938008747995,1.0,0.0040664952248334885
76,1.0,0.00019779651483986527,1.0,0.004027734510600567
77,1.0,0.0001906043034978211,1.0,0.00398276885971427
78,1.0,0.00018404114234726876,1.0,0.003922200761735439
79,1.0,0.0001778417790774256,1.0,0.003797546261921525
80,1.0,0.000171153005794622,1.0,0.0038018017075955868
81,1.0,0.00016555683396290988,1.0,0.0037524476647377014
82,1.0,0.00015996256843209267,1.0,0.00368537288159132
83,1.0,0.00015437659749295563,1.0,0.003667452372610569
84,1.0,0.0001496127079008147,1.0,0.003748253220692277
85,1.0,0.00014378911873791367,1.0,0.003620950970798731
86,1.0,0.00013885110092815012,1.0,0.0036299503408372402
87,1.0,0.0001342600298812613,1.0,0.0035010436549782753
88,1.0,0.00012961817265022546,1.0,0.003596974303945899
89,1.0,0.00012538595183286816,1.0,0.0035164228174835443
90,1.0,0.00012101708853151649,1.0,0.003479503793641925
91,1.0,0.000117000839964021,1.0,0.0034317043609917164
92,1.0,0.00011276823352091014,1.0,0.003460532519966364
93,1.0,0.00010915765597019345,1.0,0.003409493248909712
94,1.0,0.00010537175694480538,1.0,0.003434965619817376
95,1.0,0.00010189932800130919,1.0,0.003511091461405158
96,1.0,9.866205073194578e-05,1.0,0.0033044537995010614
97,1.0,9.518649312667549e-05,1.0,0.0033545969054102898
98,1.0,9.226911788573489e-05,1.0,0.003340435680001974
99,1.0,8.907557639759034e-05,1.0,0.0033061353024095297
