fold,accuracy,precision,recall,f1_score,training_time
1,0.06923076923076923,0.06716531906911921,0.06716531906911921,0.06716531906911921,8 menit 12.74 detik
2,0.09615384615384616,0.09237961768326142,0.09237961768326142,0.09237961768326142,8 menit 7.62 detik
3,0.08461538461538462,0.0788261748347224,0.0788261748347224,0.0788261748347224,7 menit 47.30 detik
4,0.08461538461538462,0.08619937754553139,0.08619937754553139,0.08619937754553139,8 menit 15.89 detik
5,0.07692307692307693,0.0748192261939065,0.0748192261939065,0.0748192261939065,7 menit 55.08 detik
6,0.07307692307692308,0.059463381446140065,0.059463381446140065,0.059463381446140065,8 menit 16.72 detik
7,0.08846153846153847,0.08164397895519178,0.08164397895519178,0.08164397895519178,8 menit 2.15 detik
8,0.06538461538461539,0.061445103413429195,0.061445103413429195,0.061445103413429195,7 menit 53.01 detik
9,0.07692307692307693,0.07447732766558678,0.07457907776733688,0.07452727771553683,7 menit 38.66 detik
