epoch,accuracy,loss,val_accuracy,val_loss
0,0.8163461685180664,0.8391998410224915,0.9846153855323792,0.18503503501415253
1,0.9937499761581421,0.12135662138462067,1.0,0.07936061173677444
2,0.9980769157409668,0.06255599856376648,0.9961538314819336,0.050013404339551926
3,0.9990384578704834,0.039767343550920486,1.0,0.03512299433350563
4,1.0,0.028138399124145508,1.0,0.02631763555109501
5,1.0,0.02165423147380352,1.0,0.020950715988874435
6,1.0,0.01696593128144741,1.0,0.0167465191334486
7,1.0,0.01378727052360773,1.0,0.015095815993845463
8,1.0,0.011623780243098736,1.0,0.013038277626037598
9,1.0,0.009856375865638256,1.0,0.01099914126098156
10,1.0,0.00852392427623272,1.0,0.010119831189513206
11,1.0,0.007397983688861132,1.0,0.009306713938713074
12,1.0,0.006568156182765961,1.0,0.00786119420081377
13,1.0,0.005782552063465118,1.0,0.0071655637584626675
14,1.0,0.005172279663383961,1.0,0.006672280840575695
15,1.0,0.004665433429181576,1.0,0.00631541945040226
16,1.0,0.004227388650178909,1.0,0.005753401666879654
17,1.0,0.0038669374771416187,1.0,0.005403399001806974
18,1.0,0.0035227141343057156,1.0,0.005014575552195311
19,1.0,0.003237983910366893,1.0,0.004685281775891781
20,1.0,0.002982198027893901,1.0,0.004342272412031889
21,1.0,0.002750721760094166,1.0,0.003978143446147442
22,1.0,0.0025566539261490107,1.0,0.0039000757969915867
23,1.0,0.0023749021347612143,1.0,0.0037722119595855474
24,1.0,0.002218852052465081,1.0,0.003455833066254854
25,1.0,0.002073120791465044,1.0,0.0033534986432641745
26,1.0,0.0019368994981050491,1.0,0.0031594044994562864
27,1.0,0.0018207724206149578,1.0,0.0030686662066727877
28,1.0,0.0017060801619663835,1.0,0.002813140396028757
29,1.0,0.0016066821990534663,1.0,0.002773335902020335
30,1.0,0.001513735856860876,1.0,0.002664098748937249
31,1.0,0.0014254890847951174,1.0,0.002596670761704445
32,1.0,0.0013441789196804166,1.0,0.0024479799903929234
33,1.0,0.001272287336178124,1.0,0.002402402926236391
34,1.0,0.0012075086124241352,1.0,0.002237162087112665
35,1.0,0.0011409677099436522,1.0,0.0021671438589692116
36,1.0,0.0010856821900233626,1.0,0.002100262325257063
37,1.0,0.0010350921656936407,1.0,0.002029848052188754
38,1.0,0.0009816479869186878,1.0,0.001930557074956596
39,1.0,0.000935122836381197,1.0,0.0018469132483005524
40,1.0,0.0008872612961567938,1.0,0.001782592968083918
41,1.0,0.0008454744820483029,1.0,0.0017642250750213861
42,1.0,0.0008078994578681886,1.0,0.0017102989368140697
43,1.0,0.0007689559133723378,1.0,0.0016180879902094603
44,1.0,0.0007340203737840056,1.0,0.0015826914459466934
45,1.0,0.0007033745641820133,1.0,0.0015405374579131603
46,1.0,0.0006723284022882581,1.0,0.001443555811420083
47,1.0,0.0006433978560380638,1.0,0.001448415219783783
48,1.0,0.0006173546425998211,1.0,0.0013749983627349138
49,1.0,0.0005884437705390155,1.0,0.0013768647331744432
