epoch,accuracy,loss,val_accuracy,val_loss
0,0.8062499761581421,0.8618859052658081,0.9846153855323792,0.20514945685863495
1,0.9913461804389954,0.1249910220503807,1.0,0.08508710563182831
2,0.9990384578704834,0.062312014400959015,1.0,0.05323966220021248
3,0.9990384578704834,0.04013226181268692,1.0,0.03789055347442627
4,0.9995192289352417,0.02812834456562996,1.0,0.030002472922205925
5,1.0,0.02156548574566841,1.0,0.023834627121686935
6,1.0,0.01713593304157257,1.0,0.0191819965839386
7,1.0,0.013778685592114925,1.0,0.016323255375027657
8,1.0,0.011660860851407051,1.0,0.014083590358495712
9,1.0,0.009838530793786049,1.0,0.012172512710094452
10,1.0,0.008426074869930744,1.0,0.010992717929184437
11,1.0,0.007400456815958023,1.0,0.009815994650125504
12,1.0,0.0065235658548772335,1.0,0.008795415051281452
13,1.0,0.0057472833432257175,1.0,0.008195769041776657
14,1.0,0.005179622210562229,1.0,0.007448065560311079
15,1.0,0.004638593643903732,1.0,0.006829375401139259
16,1.0,0.00423386599868536,1.0,0.006252950057387352
17,1.0,0.0038483848329633474,1.0,0.005930344574153423
18,1.0,0.003525763051584363,1.0,0.0054840571247041225
19,1.0,0.00324662821367383,1.0,0.005093106999993324
20,1.0,0.0029837244655936956,1.0,0.0047941748052835464
21,1.0,0.0027475720271468163,1.0,0.004437742289155722
22,1.0,0.002548125572502613,1.0,0.004286901094019413
23,1.0,0.0023739158641546965,1.0,0.004029414616525173
24,1.0,0.0022107400000095367,1.0,0.00381543324328959
25,1.0,0.0020606564357876778,1.0,0.0036009245086461306
26,1.0,0.0019337876001372933,1.0,0.0034280794207006693
27,1.0,0.0018104948103427887,1.0,0.003259213175624609
28,1.0,0.0016960423672571778,1.0,0.0030923562590032816
29,1.0,0.0015997132286429405,1.0,0.0029514848720282316
30,1.0,0.0015079209115356207,1.0,0.0028101184871047735
31,1.0,0.0014272424159571528,1.0,0.0027231292333453894
32,1.0,0.0013421009061858058,1.0,0.002613639459013939
33,1.0,0.0012691175797954202,1.0,0.002488729078322649
34,1.0,0.0012040339643135667,1.0,0.002402146579697728
35,1.0,0.0011408429127186537,1.0,0.002272804733365774
36,1.0,0.0010793459368869662,1.0,0.0021969543304294348
37,1.0,0.0010273734806105494,1.0,0.002127354498952627
38,1.0,0.000974311726167798,1.0,0.0020415931940078735
39,1.0,0.0009301956743001938,1.0,0.0019628568552434444
40,1.0,0.0008824621327221394,1.0,0.0018802911508828402
41,1.0,0.0008438111399300396,1.0,0.0018371082842350006
42,1.0,0.0008078360115177929,1.0,0.0017906109569594264
43,1.0,0.0007686822209507227,1.0,0.001716530998237431
44,1.0,0.0007350861560553312,1.0,0.0016743051819503307
45,1.0,0.0006985610234551132,1.0,0.0016018996248021722
46,1.0,0.0006680275546386838,1.0,0.001550436019897461
47,1.0,0.0006407832261174917,1.0,0.001480239094235003
48,1.0,0.0006103168707340956,1.0,0.0014366901014000177
49,1.0,0.0005842094542458653,1.0,0.0014100678963586688
