fold,accuracy,precision,recall,f1_score,training_time
1,0.09230769230769231,0.08817980609039357,0.08817980609039357,0.08817980609039357,3 menit 54.90 detik
2,0.1,0.10286337144636738,0.10274502825110111,0.10280303962132968,4 menit 17.58 detik
3,0.07307692307692308,0.0756764152375944,0.0756764152375944,0.0756764152375944,3 menit 59.93 detik
4,0.08461538461538462,0.07897317983020323,0.07897317983020323,0.07897317983020323,4 menit 4.09 detik
5,0.06538461538461539,0.06177685391240378,0.06177685391240378,0.06177685391240378,3 menit 57.14 detik
6,0.08846153846153847,0.08082219504633298,0.08082219504633298,0.08082219504633298,4 menit 22.81 detik
7,0.09230769230769231,0.08866152281484088,0.08866152281484088,0.08866152281484088,4 menit 1.30 detik
8,0.10384615384615385,0.0985478071450922,0.0985478071450922,0.0985478071450922,4 menit 19.90 detik
9,0.11153846153846154,0.10939389888246757,0.10859596387400625,0.10898184847041718,4 menit 15.67 detik
