epoch,accuracy,loss,val_accuracy,val_loss
0,0.8052884340286255,0.8768443465232849,0.9923076629638672,0.20192188024520874
1,0.9947115182876587,0.12178993970155716,1.0,0.085405632853508
2,0.9985576868057251,0.0617653913795948,1.0,0.05438956618309021
3,0.9990384578704834,0.039749108254909515,1.0,0.036446452140808105
4,1.0,0.02759654074907303,1.0,0.027828752994537354
5,1.0,0.021193604916334152,1.0,0.022521376609802246
6,1.0,0.016611868515610695,1.0,0.018215375021100044
7,1.0,0.01359358336776495,1.0,0.015406962484121323
8,1.0,0.011210178025066853,1.0,0.01367808785289526
9,1.0,0.00968978088349104,1.0,0.011737399734556675
10,1.0,0.00828557275235653,1.0,0.010452762246131897
11,1.0,0.007258839439600706,1.0,0.009368973784148693
12,1.0,0.006338915321975946,1.0,0.008471494540572166
13,1.0,0.005650259088724852,1.0,0.0077369846403598785
14,1.0,0.00507703609764576,1.0,0.007059195078909397
15,1.0,0.004589904565364122,1.0,0.006418584380298853
16,1.0,0.00415447074919939,1.0,0.006159020587801933
17,1.0,0.0037753593642264605,1.0,0.005643399432301521
18,1.0,0.003460782114416361,1.0,0.005252243019640446
19,1.0,0.0031901970505714417,1.0,0.004945180378854275
20,1.0,0.0029126545414328575,1.0,0.004642672371119261
21,1.0,0.0027041903231292963,1.0,0.00439134705811739
22,1.0,0.002507321536540985,1.0,0.004112065304070711
23,1.0,0.002331953961402178,1.0,0.003916626330465078
24,1.0,0.002167467027902603,1.0,0.0036600218154489994
25,1.0,0.0020234629046171904,1.0,0.003539416706189513
26,1.0,0.0019020684994757175,1.0,0.0033858660608530045
27,1.0,0.0017765332013368607,1.0,0.003167091403156519
28,1.0,0.001671785255894065,1.0,0.0030253236182034016
29,1.0,0.0015707872807979584,1.0,0.002908257534727454
30,1.0,0.0014820256037637591,1.0,0.002798043191432953
31,1.0,0.0013987715356051922,1.0,0.0026726294308900833
32,1.0,0.0013212342746555805,1.0,0.002583300694823265
33,1.0,0.0012465930776670575,1.0,0.002469526370987296
34,1.0,0.0011805116664618254,1.0,0.00235767662525177
35,1.0,0.00112387805711478,1.0,0.002249454613775015
36,1.0,0.0010629225289449096,1.0,0.002188083715736866
37,1.0,0.001011948799714446,1.0,0.002077866578474641
38,1.0,0.000958612363319844,1.0,0.002010122174397111
39,1.0,0.0009142562048509717,1.0,0.001939320587553084
40,1.0,0.0008672278490848839,1.0,0.0018936481792479753
41,1.0,0.0008280895999632776,1.0,0.0018341015093028545
42,1.0,0.0007893258007243276,1.0,0.001743216416798532
43,1.0,0.0007538588251918554,1.0,0.001719936728477478
44,1.0,0.0007205549627542496,1.0,0.0016636163927614689
45,1.0,0.0006884656031616032,1.0,0.0015732800820842385
46,1.0,0.0006560698966495693,1.0,0.0015288935974240303
47,1.0,0.0006291462341323495,1.0,0.001487986883148551
48,1.0,0.0006028802017681301,1.0,0.0014314259169623256
49,1.0,0.0005768380942754447,1.0,0.0014024574775248766
